Part/Designator,Manufacture Part Number/Seeed SKU,Quantity,Description
C1,302010091,1,"0603, 7pF"
"C2, C3",302010097,2,"0603, 10pF"
C4,302010138,1,"0603, 100nF"
C5,302020002,1,"0603, 10uF"
D1,304090046,1,"0805, LED Red"
D2,304090061,1,"0805, LED Blue"
R1,301010102,1,"0603, 12k"
"R2, R3, R5, R6, R9",301010299,5,"0603, 10k"
"R7, R8, R4",301010300,2,"0603, 330"
